athlete_id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,headshot_url,season
12047,Jamien,McCullum,Stanford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/12047.png,2004
15825,Bo,Scaife,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/15825.png,2004
16705,Bristol,Olomua,Texas Tech,188,68,2,NA,S,Cleveland,OH,USA,41.5051613,-81.6934446,39035,https://a.espncdn.com/i/headshots/college-football/players/full/16705.png,2004
19707,Korey,Kirkpatrick,Miami (OH),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/19707.png,2004
20847,Jason,White,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/20847.png,2004
28326,Stephen,Cucci,Houston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/28326.png,2004
29035,Chris,Jackson,Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/29035.png,2004
36262,Chris,Hale,BYU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/36262.png,2004
100104,Andrew,Walter,Arizona State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100104.png,2004
100107,Emmanuel,Franklin,Arizona State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100107.png,2004
100169,Luke,Groth,Baylor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100169.png,2004
100172,Jonathan,Evans,Baylor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100172.png,2004
100178,Khari,Long,Baylor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100178.png,2004
100179,John,Martin,Baylor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100179.png,2004
100196,Kenny,Webb,Baylor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100196.png,2004
100210,Marques,Roberts,Baylor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100210.png,2004
100223,Brock,Berlin,Miami,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100223.png,2004
100241,Travis,Harris,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100241.png,2004
100251,Cory,Bailey,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100251.png,2004
100266,Tavaris,Capers,UCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100266.png,2004
100336,Atari,Bigby,UCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100336.png,2004
100339,Luther,Huggins,UCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a.espncdn.com/i/headshots/college-football/players/full/100339.png,2004
