athlete_id,first_name,last_name,weight,height,jersey,year_in_program,position,home_city,home_state,home_country,team,season
546852,Leon,Jacobs,245,74,32,NA,FB,Chicago,IL,USA,Wisconsin,2015
3121564,Derrick,Tindal,181,71,25,NA,CB,Llano,TX,USA,Wisconsin,2015
534828,Joe,Schobert,NA,74,58,NA,OLB,Waukesha,WI,USA,Wisconsin,2015
514230,Joel,Stave,NA,77,2,NA,QB,Greenfield,WI,USA,Wisconsin,2015
534830,Connor,Udelhoven,NA,72,60,NA,LS,St. Paul,MN,USA,Wisconsin,2015
546860,Jazz,Peavy,189,72,11,NA,WR,Lubbock,TX,USA,Wisconsin,2015
514222,A.J.,Jordan,NA,72,82,NA,WR,Dayton,OH,USA,Wisconsin,2015
534813,Bart,Houston,NA,76,13,NA,QB,Dublin,CA,USA,Wisconsin,2015
514232,Derek,Straus,NA,73,26,NA,FB,Waunakee,WI,USA,Wisconsin,2015
3121565,Serge,Trezy,NA,74,30,NA,CB,Orlando,FL,USA,Wisconsin,2015
3121545,Lubern,Figaro,188,72,31,NA,CB,Llano,TX,USA,Wisconsin,2015
546863,Sojourn,Shelton,NA,69,8,NA,CB,Ft. Lauderdale,FL,USA,Wisconsin,2015
3163535,Ricky,Finco,NA,68,86,NA,WR,Hartland,WI,USA,Wisconsin,2015
534823,Jack,Russell,NA,72,97,NA,PK,Waunakee,WI,USA,Wisconsin,2015
3121556,Zander,Neuville,252,77,85,4,TE,Waupaca,WI,USA,Wisconsin,2015
546846,Garret,Dooley,246,75,5,NA,OLB,Chicago,IL,USA,Wisconsin,2015
3917668,Alec,Ingold,246,74,45,4,FB,Green Bay,WI,USA,Wisconsin,2015
546844,Jack,Cichy,234,74,48,NA,ILB,Chicago,IL,USA,Wisconsin,2015
534820,Leo,Musso,NA,70,19,NA,S,Waunakee,WI,USA,Wisconsin,2015
514221,Darius,Hillary,NA,71,5,NA,CB,Cincinnati,OH,USA,Wisconsin,2015
515835,Tanner,McEvoy,NA,78,3,NA,S,Hillsdale,NJ,USA,Wisconsin,2015
514228,Drew,Meyer,NA,75,90,NA,P,Hartland,WI,USA,Wisconsin,2015
3121563,Conor,Sheehy,293,76,94,NA,DE,Fairfield,TX,USA,Wisconsin,2015
3121552,Natrell,Jamerson,198,72,12,NA,S,Krum,TX,USA,Wisconsin,2015
546848,Joe,Ferguson,195,73,8,NA,S,Krum,TX,USA,Wisconsin,2015
3121561,Krenwick,Sanders,NA,74,85,NA,WR,Jesup,GA,USA,Wisconsin,2015
534807,Vince,Biegel,NA,76,47,NA,OLB,Wisconsin Rapids,WI,USA,Wisconsin,2015
546859,Chikwe,Obasih,275,75,34,NA,DE,Fairfield,TX,USA,Wisconsin,2015
546847,Andrew,Endicott,NA,69,37,NA,PK,Sacramento,CA,USA,Wisconsin,2015
537577,Dare,Ogunbowale,NA,71,23,NA,RB,Milwaukee,WI,USA,Wisconsin,2015
546849,Troy,Fumagalli,248,78,81,NA,TE,Lewisville,TX,USA,Wisconsin,2015
514216,Jordan,Fredrick,NA,76,9,NA,WR,Madison,WI,USA,Wisconsin,2015
514212,Michael,Caputo,NA,73,7,NA,S,Imperial,PA,USA,Wisconsin,2015
3917685,Jake,Whalen,246,73,39,NA,FB,North Richland Hills,TX,USA,Wisconsin,2015
546867,Robert,Wheelwright,NA,75,15,NA,WR,Columbus,OH,USA,Wisconsin,2015
514234,Derek,Watt,NA,74,34,NA,FB,Pewaukee,WI,USA,Wisconsin,2015
3121547,Rafael,Gaglianone,236,71,27,4,PK,NA,NA,Brazil,Wisconsin,2015
3121550,Billy,Hirschfeld,305,78,96,NA,DE,Fairfield,TX,USA,Wisconsin,2015
534829,Eric,Steffes,NA,77,44,NA,TE,Mount Calvary,WI,USA,Wisconsin,2015
3121540,Taiwan,Deal,225,73,28,4,RB,Capitol Heights,MD,USA,Wisconsin,2015
546853,Alec,James,272,75,57,NA,DE,Fairfield,TX,USA,Wisconsin,2015
550839,Austin,Ramesh,255,73,20,NA,RB,North Richland Hills,TX,USA,Wisconsin,2015
546843,Keelon,Brookins,NA,71,24,NA,S,St. Paul,MN,USA,Wisconsin,2015
534809,Alex,Erickson,NA,72,30,NA,WR,Argyle,WI,USA,Wisconsin,2015
514233,Austin,Traylor,NA,76,46,NA,TE,Columbus,OH,USA,Wisconsin,2015
3917658,Titus,Booker,195,71,19,NA,CB,Llano,TX,USA,Wisconsin,2015
546866,T.J.,Watt,NA,77,42,NA,OLB,Pewaukee,WI,USA,Wisconsin,2015
534816,Reggie,Love,NA,75,1,NA,WR,Boynton Beach,FL,USA,Wisconsin,2015
546845,Corey,Clement,NA,71,6,NA,RB,Glassboro,NJ,USA,Wisconsin,2015
3917679,Olive,Sagapolu,338,74,99,4,NT,NA,NA,American Samoa,Wisconsin,2015
3121560,George,Rushing,200,73,15,4,WR,Miramar,FL,USA,Wisconsin,2015
3886611,Kyle,Penniston,243,76,49,4,TE,Orange,CA,USA,Wisconsin,2015
3917663,Arrington,Farrar,242,74,18,4,ILB,Atlanta,GA,USA,Wisconsin,2015
3133487,Andrew,Van Ginkel,233,76,17,4,LB,Rock Valley,IA,USA,Wisconsin,2015
3121542,D'Cota,Dixon,200,70,14,4,S,Oak Hill,FL,USA,Wisconsin,2015
3886609,Alex,Hornibrook,220,76,12,4,QB,West Chester,PA,USA,Wisconsin,2015
3121537,Beau,Benzschawel,322,78,66,4,OL,Green Bay,WI,USA,Wisconsin,2015
3140900,Evan,Bondoc,200,73,13,4,S,Madison,WI,USA,Wisconsin,2015
4242345,Adam,Bay,229,72,51,3,LS,Mesa,AZ,USA,Wisconsin,2015
3886608,Jon,Dietzen,326,78,67,3,OL,Black Creek,WI,USA,Wisconsin,2015
4035777,DC,Williams,192,71,5,4,CB,Miami,FL,USA,Wisconsin,2015
3917667,Kraig,Howe,277,75,98,3,DE,Dayton,OH,USA,Wisconsin,2015
3121544,T.J.,Edwards,248,73,53,4,ILB,Lake Villa,IL,USA,Wisconsin,2015
3121541,Michael,Deiter,321,78,63,4,OL,Curtice,OH,USA,Wisconsin,2015
3121559,P.J.,Rosowski,226,75,38,4,P,Stoughton,WI,USA,Wisconsin,2015
4035772,Patrick,Johnson,202,71,2,2,S,Washington,DC,USA,Wisconsin,2015
4035782,Gabe,Lloyd,231,76,46,3,TE,Green Bay,WI,USA,Wisconsin,2015
3121538,Ryan,Connelly,236,75,43,4,ILB,Eden Prairie,MN,USA,Wisconsin,2015
3917660,David,Edwards,319,79,79,3,OL,Long Grove,IL,USA,Wisconsin,2015
3152673,Mark,Saari,206,72,21,4,RB,Montreal,WI,USA,Wisconsin,2015
3121554,Caleb,Kinlaw,202,70,32,4,RB,Goose Creek,SC,USA,Wisconsin,2015
-1043766,Micah,Kapoi,308,75,75,NA,OL,Kapolei,HI,USA,Wisconsin,2015
-1043771,Brett,Connors,304,78,64,NA,OL,New Berlin,WI,USA,Wisconsin,2015
-1043776,Peter,Roy,195,72,43,NA,WR,Muskego,WI,USA,Wisconsin,2015
-1043777,Nick,Thomas,225,74,46,NA,ILB,Bradenton,FL,USA,Wisconsin,2015
-1043778,Ian,Dretzka,322,78,77,NA,OL,Delafield,WI,USA,Wisconsin,2015
-1043779,Kevin,Estes,263,77,73,NA,OL,San Marcos,CA,USA,Wisconsin,2015
-1043780,Mitchell,Herl,254,76,48,NA,TE,Middleton,WI,USA,Wisconsin,2015
-1043781,Henry,Houden,204,76,82,NA,WR,Madison,WI,USA,Wisconsin,2015
-1043783,Troy,Laufenberg,189,70,29,NA,RB,Waunakee,WI,USA,Wisconsin,2015
