game_id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
292460189,2009,1,regular,2009-09-03T23:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,fbs,31,NA,1488,1535,2653,Troy,Sun Belt,fbs,14,NA,1585,1538,NA,NA,NA
292460152,2009,1,regular,2009-09-03T23:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3670,Carter-Finley Stadium,152,NC State,ACC,fbs,3,NA,1512,1508,2579,South Carolina,SEC,fbs,7,NA,1550,1554,NA,NA,NA
292462309,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3696,Dix Stadium,2309,Kent State,Mid-American,fbs,18,NA,1313,1363,324,Coastal Carolina,Big South,fcs,0,NA,1405,1355,NA,NA,NA
292460218,2009,1,regular,2009-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3806,Lincoln Financial Field,218,Temple,Mid-American,fbs,24,NA,NA,NA,222,Villanova,CAA,fcs,27,NA,NA,NA,NA,NA,NA
292462050,2009,1,regular,2009-09-03T23:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3919,Scheumann Stadium,2050,Ball State,Mid-American,fbs,10,NA,1530,1459,249,North Texas,Sun Belt,fbs,20,NA,1035,1106,NA,NA,NA
292460066,2009,1,regular,2009-09-04T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3772,Jack Trice Stadium,66,Iowa State,Big 12,fbs,34,NA,NA,NA,2449,North Dakota State,MVFC,fcs,17,NA,NA,NA,NA,NA,NA
292460084,2009,1,regular,2009-09-04T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3830,Memorial Stadium,84,Indiana,Big Ten,fbs,19,NA,NA,NA,2198,Eastern Kentucky,OVC,fcs,13,NA,NA,NA,NA,NA,NA
292460254,2009,1,regular,2009-09-04T01:00:00.000Z,NA,TRUE,FALSE,FALSE,0,587,Rice-Eccles Stadium,254,Utah,Mountain West,fbs,35,NA,1799,1800,328,Utah State,Western Athletic,fbs,17,NA,1359,1358,NA,NA,NA
292460068,2009,1,regular,2009-09-04T02:15:00.000Z,NA,TRUE,FALSE,FALSE,0,3653,Albertsons Stadium,68,Boise State,Western Athletic,fbs,19,NA,1813,1832,2483,Oregon,Pac-10,fbs,8,NA,1799,1780,NA,NA,NA
292472655,2009,1,regular,2009-09-05T00:00:00.000Z,NA,TRUE,FALSE,TRUE,0,3493,Mercedes-Benz Superdome,2655,Tulane,Conference USA,fbs,13,NA,1128,1125,202,Tulsa,Conference USA,fbs,37,NA,1698,1701,NA,NA,NA
292480062,2009,1,regular,2009-09-05T05:05:00.000Z,FALSE,TRUE,TRUE,FALSE,0,3610,Aloha Stadium,62,Hawai'i,Western Athletic,fbs,25,NA,NA,NA,2110,Central Arkansas,Southland,fcs,20,NA,NA,NA,NA,NA,NA
292480194,2009,1,regular,2009-09-05T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3861,Ohio Stadium,194,Ohio State,Big Ten,fbs,31,NA,1829,1824,2426,Navy,FBS Independents,fbs,27,NA,1546,1551,NA,NA,NA
292480213,2009,1,regular,2009-09-05T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3632,Beaver Stadium,213,Penn State,Big Ten,fbs,31,NA,1879,1886,2006,Akron,Mid-American,fbs,7,NA,1360,1353,NA,NA,NA
292480151,2009,1,regular,2009-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3699,Dowdy-Ficklen Stadium,151,East Carolina,Conference USA,fbs,29,NA,1529,1531,2026,Appalachian State,Southern,fcs,24,NA,1451,1449,NA,NA,NA
292480277,2009,1,regular,2009-09-05T16:00:00.000Z,FALSE,TRUE,TRUE,FALSE,0,NA,NA,277,West Virginia,Big East,fbs,33,NA,1701,1704,2335,Liberty,Big South,fcs,20,NA,1419,1416,NA,NA,NA
292480127,2009,1,regular,2009-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3936,Spartan Stadium,127,Michigan State,Big Ten,fbs,44,NA,NA,NA,147,Montana State,Big Sky,fcs,3,NA,NA,NA,NA,NA,NA
292482509,2009,1,regular,2009-09-05T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,fbs,52,NA,1559,1583,2649,Toledo,Mid-American,fbs,31,NA,1304,1280,NA,NA,NA
292480077,2009,1,regular,2009-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3911,Ryan Field,77,Northwestern,Big Ten,fbs,47,NA,NA,NA,119,Towson,CAA,fcs,14,NA,NA,NA,NA,NA,NA
292480183,2009,1,regular,2009-09-05T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,1964,Carrier Dome,183,Syracuse,Big East,fbs,20,NA,1303,1304,135,Minnesota,Big Ten,fbs,23,NA,1401,1400,NA,NA,NA
292480193,2009,1,regular,2009-09-05T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,NA,NA,193,Miami (OH),Mid-American,fbs,0,NA,1208,1123,96,Kentucky,SEC,fbs,42,NA,1509,1594,NA,NA,NA
292482294,2009,1,regular,2009-09-05T16:05:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3793,Kinnick Stadium,2294,Iowa,Big Ten,fbs,17,NA,NA,NA,2460,Northern Iowa,MVFC,fcs,16,NA,NA,NA,NA,NA,NA
292482633,2009,1,regular,2009-09-05T16:21:00.000Z,NA,TRUE,FALSE,FALSE,0,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,63,NA,1586,1707,98,Western Kentucky,Sun Belt,fbs,7,NA,1222,1101,NA,NA,NA
292480059,2009,1,regular,2009-09-05T17:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,fbs,37,NA,NA,NA,55,Jacksonville State,OVC,fcs,17,NA,NA,NA,NA,NA,NA
292480221,2009,1,regular,2009-09-05T17:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3752,Heinz Field,221,Pittsburgh,Big East,fbs,38,NA,NA,NA,2754,Youngstown State,MVFC,fcs,3,NA,NA,NA,NA,NA,NA
292480103,2009,1,regular,2009-09-05T18:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3615,Alumni Stadium,103,Boston College,ACC,fbs,54,NA,NA,NA,111,Northeastern,CAA,fcs,0,NA,NA,NA,NA,NA,NA
292482005,2009,1,regular,2009-09-05T18:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3713,Falcon Stadium,2005,Air Force,Mountain West,fbs,72,NA,NA,NA,2447,Nicholls,Southland,fcs,0,NA,NA,NA,NA,NA,NA
292480204,2009,1,regular,2009-09-05T18:30:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3893,Reser Stadium,204,Oregon State,Pac-10,fbs,34,NA,NA,NA,2502,Portland State,Big Sky,fcs,7,NA,NA,NA,NA,NA,NA
292482751,2009,1,regular,2009-09-05T19:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3984,War Memorial Stadium,2751,Wyoming,Mountain West,fbs,29,NA,NA,NA,2692,Weber State,Big Sky,fcs,22,NA,NA,NA,NA,NA,NA
292480030,2009,1,regular,2009-09-05T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,477,Los Angeles Memorial Coliseum,30,USC,Pac-10,fbs,56,NA,1980,2054,23,San José State,Western Athletic,fbs,3,NA,1337,1263,NA,NA,NA
292480197,2009,1,regular,2009-09-05T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,fbs,24,NA,1689,1718,61,Georgia,SEC,fbs,10,NA,1696,1667,NA,NA,NA
292480154,2009,1,regular,2009-09-05T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3630,BB&T Field,154,Wake Forest,ACC,fbs,21,NA,1567,1557,239,Baylor,Big 12,fbs,24,NA,1481,1491,NA,NA,NA
292480130,2009,1,regular,2009-09-05T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3558,Michigan Stadium,130,Michigan,Big Ten,fbs,31,NA,1489,1540,2711,Western Michigan,Mid-American,fbs,7,NA,1414,1363,NA,NA,NA
292480087,2009,1,regular,2009-09-05T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3855,Notre Dame Stadium,87,Notre Dame,FBS Independents,fbs,35,NA,1555,1647,2440,Nevada,Western Athletic,fbs,0,NA,1511,1419,NA,NA,NA
292480344,2009,1,regular,2009-09-05T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3693,Davis Wade Stadium,344,Mississippi State,SEC,fbs,45,NA,NA,NA,2296,Jackson State,SWAC,fcs,7,NA,NA,NA,NA,NA,NA
292480356,2009,1,regular,2009-09-05T19:40:00.000Z,NA,TRUE,TRUE,FALSE,0,NA,NA,356,Illinois,Big Ten,fbs,9,NA,1577,1530,142,Missouri,Big 12,fbs,37,NA,1755,1802,NA,NA,NA
292480005,2009,1,regular,2009-09-05T20:00:00.000Z,NA,TRUE,FALSE,TRUE,0,3803,Legion Field,5,UAB,Conference USA,fbs,44,NA,1268,1348,242,Rice,Conference USA,fbs,24,NA,1562,1482,NA,NA,NA
292480276,2009,1,regular,2009-09-05T20:30:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3775,Joan C. Edwards Stadium,276,Marshall,Conference USA,fbs,31,NA,NA,NA,79,Southern Illinois,MVFC,fcs,28,NA,NA,NA,NA,NA,NA
292480228,2009,1,regular,2009-09-05T22:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3836,Memorial Stadium,228,Clemson,ACC,fbs,37,NA,1645,1673,2393,Middle Tennessee,Sun Belt,fbs,14,NA,1371,1343,NA,NA,NA
292480258,2009,1,regular,2009-09-05T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3923,Scott Stadium,258,Virginia,ACC,fbs,14,NA,NA,NA,2729,William & Mary,CAA,fcs,26,NA,NA,NA,NA,NA,NA
292480265,2009,1,regular,2009-09-05T22:00:00.000Z,NA,TRUE,FALSE,TRUE,0,3820,Martin Stadium,265,Washington State,Pac-10,fbs,13,NA,1064,1044,24,Stanford,Pac-10,fbs,39,NA,1513,1533,NA,NA,NA
292480153,2009,1,regular,2009-09-05T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3787,Kenan Memorial Stadium,153,North Carolina,ACC,fbs,40,NA,NA,NA,2643,The Citadel,Southern,fcs,6,NA,NA,NA,NA,NA,NA
292480150,2009,1,regular,2009-09-05T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3982,Wallace Wade Stadium,150,Duke,ACC,fbs,16,NA,NA,NA,257,Richmond,CAA,fcs,24,NA,NA,NA,NA,NA,NA
292480248,2009,1,regular,2009-09-05T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,0,453,Robertson Stadium,248,Houston,Conference USA,fbs,55,NA,NA,NA,2466,Northwestern State,Southland,fcs,7,NA,NA,NA,NA,NA,NA
292480057,2009,1,regular,2009-09-05T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3634,Ben Hill Griffin Stadium,57,Florida,SEC,fbs,62,NA,NA,NA,2127,Charleston Southern,Big South,fcs,3,NA,NA,NA,NA,NA,NA
292480158,2009,1,regular,2009-09-05T23:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3834,Memorial Stadium,158,Nebraska,Big 12,fbs,49,NA,1622,1724,2226,Florida Atlantic,Sun Belt,fbs,3,NA,1367,1265,NA,NA,NA
292482305,2009,1,regular,2009-09-05T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3833,Memorial Stadium,2305,Kansas,Big 12,fbs,49,NA,NA,NA,2458,Northern Colorado,Big Sky,fcs,3,NA,NA,NA,NA,NA,NA
