game_id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
322432097,2012,1,regular,2012-08-30T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3629,Barker-Lane Stadium,2097,Campbell,Pioneer,fcs,20,NA,NA,NA,2560,Shorter,NA,NA,31,NA,NA,NA,NA,NA,NA
322430238,2012,1,regular,2012-08-30T23:00:00.000Z,NA,FALSE,TRUE,38393,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,fbs,13,0.4810050216379631,1573,1577,2579,South Carolina,SEC,fbs,17,0.5189949783620369,1743,1739,6.67378264793589,NA,NA
322432050,2012,1,regular,2012-08-30T23:00:00.000Z,NA,FALSE,TRUE,12725,3919,Scheumann Stadium,2050,Ball State,Mid-American,fbs,37,0.9799201263687518,1299,1314,2199,Eastern Michigan,Mid-American,fbs,26,0.02007987363124819,1231,1216,3.50953102835795,NA,NA
322432309,2012,1,regular,2012-08-30T23:00:00.000Z,NA,FALSE,FALSE,15121,3696,Dix Stadium,2309,Kent State,Mid-American,fbs,41,0.35542781007372926,NA,NA,119,Towson,CAA,fcs,21,0.6445721899262707,NA,NA,1.55902925020132,NA,NA
322432117,2012,1,regular,2012-08-30T23:00:00.000Z,FALSE,FALSE,FALSE,15250,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,38,0.6303081261505843,NA,NA,2546,Southeast Missouri State,OVC,fcs,27,0.3696918738494157,NA,NA,10.8367261661988,NA,NA
322432710,2012,1,regular,2012-08-30T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3746,Hanson Field,2710,Western Illinois,MVFC,fcs,23,NA,NA,NA,2086,Butler,Pioneer,fcs,15,NA,NA,NA,NA,NA,NA
322432413,2012,1,regular,2012-08-30T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3774,Jayne Stadium,2413,Morehead State,Pioneer,fcs,55,NA,NA,NA,2896,Southern Virginia,NA,NA,0,NA,NA,NA,NA,NA,NA
322432230,2012,1,regular,2012-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,NA,3681,Coffey Field,2230,Fordham,Patriot,fcs,55,NA,NA,NA,209,Lock Haven,NA,NA,0,NA,NA,NA,NA,NA,NA
322432006,2012,1,regular,2012-08-30T23:00:00.000Z,NA,FALSE,FALSE,12616,3768,Summa Field at InfoCision Stadium,2006,Akron,Mid-American,fbs,14,0.20378637134909341,997,945,2116,UCF,Conference USA,fbs,56,0.7962136286509066,1559,1611,2.01013241916277,NA,NA
322430254,2012,1,regular,2012-08-30T23:15:00.000Z,NA,FALSE,FALSE,45273,587,Rice-Eccles Stadium,254,Utah,Pac-12,fbs,41,0.9999962695872247,NA,NA,2458,Northern Colorado,Big Sky,fcs,0,0.0000037304127753490235,NA,NA,2.50471557930262,NA,NA
