game_id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401013357,2018,1,regular,2018-08-25T21:30:00.000Z,NA,FALSE,FALSE,8684,3985,Warren McGuirk Alumni Stadium,113,UMass,FBS Independents,63,0.9984542422162311,NA,NA,2184,Duquesne,NA,15,0.001545757783768864,NA,NA,0.2139101303,https://www.youtube.com/watch?v=uwMMvX-tU_U,NA
401014972,2018,1,regular,2018-08-25T23:00:00.000Z,NA,FALSE,FALSE,20050,3895,Rice Stadium,242,Rice,Conference USA,31,0.41611197976904707,NA,NA,2504,Prairie View,NA,28,0.5838880202309529,NA,NA,5.6012773743,https://www.youtube.com/watch?v=z2VFteZqBBw,NA
401022510,2018,1,regular,2018-08-25T23:30:00.000Z,NA,FALSE,TRUE,31007,5388,Canvas Stadium,36,Colorado State,Mountain West,34,0.3317397678892768,1529,1482,62,Hawai'i,Mountain West,43,0.6682602321107232,1217,1264,4.5649361931,https://www.youtube.com/watch?v=1FEy3ogBwpM,NA
401013437,2018,1,regular,2018-08-26T02:00:00.000Z,NA,FALSE,FALSE,20322,3601,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,7,0.00427210984632397,1339,1304,2751,Wyoming,Mountain West,29,0.995727890153676,1537,1572,2.7057118396,https://www.youtube.com/watch?v=S3V1Juvj160,NA
401019470,2018,1,regular,2018-08-30T23:00:00.000Z,NA,FALSE,TRUE,0,3892,Rentschler Field,41,Connecticut,American Athletic,17,0.004203463433869054,1242,1190,2116,UCF,American Athletic,56,0.995796536566131,1729,1781,0.830061928399999,https://www.youtube.com/watch?v=ZPI-FjeNw4A,NA
401020671,2018,1,regular,2018-08-30T23:00:00.000Z,NA,FALSE,FALSE,0,3919,Scheumann Stadium,2050,Ball State,Mid-American,42,0.9999720937904223,NA,NA,2115,Central Connecticut,NA,6,0.000027906209577710506,NA,NA,0.760100617799999,NA,NA
401013328,2018,1,regular,2018-08-30T23:00:00.000Z,NA,FALSE,FALSE,0,3953,TCF Bank Stadium,135,Minnesota,Big Ten,48,0.9999638364577065,1499,1582,166,New Mexico State,FBS Independents,10,0.00003616354229352137,1304,1221,3.06144440259999,https://www.youtube.com/watch?v=hpuPjxkqUWI,NA
401021651,2018,1,regular,2018-08-30T23:00:00.000Z,NA,FALSE,FALSE,0,4246,Georgia State Stadium,2247,Georgia State,Sun Belt,24,0.869590187971506,NA,NA,338,Kennesaw State,NA,20,0.130409812028494,NA,NA,5.8512641491,https://www.youtube.com/watch?v=kUls9PpCkuc,NA
401014979,2018,1,regular,2018-08-31T00:00:00.000Z,NA,FALSE,FALSE,0,3803,Legion Field,5,UAB,Conference USA,52,0.999997345694123,NA,NA,2542,Savannah State,NA,0,0.0000026543058769812333,NA,NA,0.1406151783,https://www.youtube.com/watch?v=gKQoi3sPeic,NA
401021655,2018,1,regular,2018-08-31T00:00:00.000Z,NA,FALSE,FALSE,0,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,34,0.5720859305615573,NA,NA,2545,Southeastern Louisiana,NA,31,0.4279140694384427,NA,NA,8.4160129207,NA,NA
