"game_id","season","week","season_type","start_date","start_time_tbd","completed","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_division","home_conference","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_division","away_conference","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index","highlights","notes"
401756846,2025,1,"regular","2025-08-23T16:00:00.000Z",FALSE,TRUE,TRUE,TRUE,NA,3504,"Aviva Stadium",2306,"Kansas State","fbs","Big 12",21,0.201544418931007,1669,1666,66,"Iowa State","fbs","Big 12",24,0.798455581068993,1616,1619,6.0290941607396,"","Aer Lingus College Football Classic"
401767476,2025,1,"regular","2025-08-23T17:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,3779,"Manning Field at John L. Guidry Stadium",2447,"Nicholls","fcs","Southland",20,0.709786057472229,NA,NA,2916,"Incarnate Word","fcs","Southland",6,0.290213942527771,NA,NA,5.12649920327566,"",NA
401760371,2025,1,"regular","2025-08-23T20:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,6501,"Allegiant Stadium",2439,"UNLV","fbs","Mountain West",38,0.978786885738373,NA,NA,304,"Idaho State","fcs","Big Sky",31,0.0212131142616272,NA,NA,9.59856171019143,"",NA
401767126,2025,1,"regular","2025-08-23T20:30:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,4765,"Hillsboro Stadium",2502,"Portland State","fcs","Big Sky",0,0.0281149744987488,NA,NA,2627,"Tarleton State","fcs","UAC",42,0.971885025501251,NA,NA,4.94351376798727,"",NA
401756847,2025,1,"regular","2025-08-23T22:30:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3833,"Memorial Stadium",2305,"Kansas","fbs","Big 12",31,1,1583,1632,278,"Fresno State","fbs","Mountain West",7,0,1490,1441,3.78304084816632,"",NA
401757218,2025,1,"regular","2025-08-23T23:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,3796,"Houchens Industries-L.T. Smith Stadium",98,"Western Kentucky","fbs","Conference USA",41,0.872897028923035,1409,1450,2534,"Sam Houston","fbs","Conference USA",24,0.127102971076965,1452,1411,6.04146368507938,"",NA
401767410,2025,1,"regular","2025-08-23T23:30:00.000Z",FALSE,TRUE,TRUE,FALSE,NA,4246,"Center Parc Stadium",2582,"Southern","fcs","SWAC",14,0.116361066699028,NA,NA,2428,"North Carolina Central","fcs","MEAC",31,0.883638933300972,NA,NA,3.81567785000575,"","Cricket MEAC/SWAC Challenge Kickoff"
401754516,2025,1,"regular","2025-08-23T23:30:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,7220,"Clarence T.C. Ching Athletics Complex",62,"Hawai'i","fbs","Mountain West",23,0.410163193941116,1257,1258,24,"Stanford","fbs","ACC",20,0.589836806058884,1283,1282,7.30756786244744,"",NA
401773590,2025,1,"regular","2025-08-28T19:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,5879,"Tomlinson Stadium",2120,"Central Washington","ii","Lone Star",41,NA,NA,NA,11,"Colorado Mesa","ii","Rocky Mountain",14,NA,NA,NA,NA,"",NA
401762522,2025,1,"regular","2025-08-28T21:30:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3886,"Raymond James Stadium",58,"South Florida","fbs","American Athletic",34,0.971840798854828,1456,1554,68,"Boise State","fbs","Mountain West",7,0.0281592011451721,1676,1578,5.13722155432476,"",NA
