"game_id","season","week","season_type","start_date","start_time_tbd","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_conference","home_points","home_post_win_prob","away_id","away_team","away_conference","away_points","away_post_win_prob","excitement_index"
222340258,2002,1,"regular","2002-08-22T19:30:00.000Z",NA,FALSE,TRUE,57120,3923,"Scott Stadium",258,"Virginia","ACC",29,NA,36,"Colorado State","Mountain West",35,NA,NA
222350275,2002,1,"regular","2002-08-23T20:00:00.000Z",NA,FALSE,FALSE,75136,347,"Camp Randall Stadium",275,"Wisconsin","Big Ten",23,NA,278,"Fresno State","Western Athletic",21,NA,NA
222360194,2002,1,"regular","2002-08-24T14:30:00.000Z",NA,FALSE,FALSE,100037,3861,"Ohio Stadium",194,"Ohio State","Big Ten",45,NA,2641,"Texas Tech","Big 12",21,NA,NA
222360152,2002,1,"regular","2002-08-24T16:30:00.000Z",NA,FALSE,TRUE,47018,3670,"Carter-Finley Stadium",152,"NC State","ACC",34,NA,167,"New Mexico","Mountain West",14,NA,NA
222360158,2002,1,"regular","2002-08-24T19:45:00.000Z",NA,FALSE,FALSE,77779,3834,"Memorial Stadium",158,"Nebraska","Big 12",48,NA,9,"Arizona State","Pac-10",10,NA,NA
222360066,2002,1,"regular","2002-08-24T20:30:00.000Z",NA,FALSE,FALSE,55132,NA,NA,66,"Iowa State","Big 12",31,NA,52,"Florida State","ACC",38,NA,NA
222370259,2002,1,"regular","2002-08-25T14:30:00.000Z",NA,FALSE,FALSE,54016,3799,"Lane Stadium",259,"Virginia Tech","Big East",63,NA,2032,"Arkansas State","Sun Belt",7,NA,NA
222410218,2002,2,"regular","2002-08-29T19:00:00.000Z",NA,FALSE,FALSE,15329,3730,"Franklin Field",218,"Temple","Big East",34,NA,257,"Richmond",NA,7,NA,NA
222412649,2002,2,"regular","2002-08-29T19:00:00.000Z",NA,FALSE,FALSE,23074,3739,"Glass Bowl",2649,"Toledo","Mid-American",44,NA,13,"Cal Poly",NA,16,NA,NA
222410058,2002,2,"regular","2002-08-29T19:00:00.000Z",NA,FALSE,FALSE,22074,3886,"Raymond James Stadium",58,"South Florida","FBS Independents",51,NA,2226,"Florida Atlantic",NA,10,NA,NA
